iter	RMSE
163	6.290344947
164	6.284017356
165	6.274318453
166	6.261403394
167	6.252083813
168	6.240866672
169	6.234711973
170	6.227363459
171	6.217965216
172	6.21257397
173	6.197842598
174	6.187039366
175	6.180234932
176	6.174003696
177	6.165494734
178	6.159304654
179	6.153059667
180	6.149529211
181	6.141453275
182	6.134213734
183	6.122972146
184	6.117363754
185	6.111594719
186	6.104866831
187	6.096193596
188	6.092012019
189	6.085549253
190	6.077673967
191	6.069596044
192	6.064334312
193	6.060847627
194	6.052628332
195	6.046981023
196	6.043138945
197	6.030345518
198	6.025713787
199	6.016592874
200	6.009110195
201	6.005428134
202	5.989142247
203	5.985232012
204	5.977414984
205	5.96346181
206	5.955749638
207	5.949199182
208	5.942355871
209	5.937599138
210	5.933086433
211	5.926445874
212	5.921843096
213	5.916752055
214	5.909656297
215	5.904027185
216	5.898185868
217	5.891219192
218	5.879607234
219	5.86565678
220	5.859579172
221	5.853962337
222	5.847818579
223	5.84142562
224	5.836084818
225	5.830449389
226	5.826904798
227	5.82102765
228	5.812730481
229	5.807930821
230	5.803849834
231	5.800257075
232	5.794630017
233	5.789510282
234	5.781780991
235	5.778634588
236	5.775900494
237	5.767366484
238	5.760290388
239	5.751429935
240	5.7469375
241	5.741183149
242	5.738139128
243	5.733713809
244	5.731386544
245	5.723738069
246	5.718260377
247	5.714206604
248	5.70924134
249	5.69787474
250	5.691893841
251	5.686358398
252	5.67982776
253	5.667878886
254	5.662407701
255	5.659350532
256	5.650771753
257	5.639852655
258	5.633392018
259	5.623024234
260	5.617428752
261	5.611097599
262	5.598846518
263	5.591012277
264	5.581299533
265	5.576064257
266	5.569344228
267	5.560401057
268	5.554695139
269	5.54938403
270	5.543231803
271	5.535808789
272	5.53082946
273	5.524060532
274	5.517670425
275	5.509317544
276	5.504465677
277	5.496269595
278	5.489188014
279	5.485682475
280	5.478935366
281	5.476936318
282	5.471097207
283	5.468283433
284	5.459478505
285	5.454388644
286	5.449044144
287	5.443753201
288	5.437002037
289	5.432006876
290	5.426755834
291	5.424243693
292	5.417349822
293	5.412103618
294	5.403266789
295	5.396672105
296	5.392427817
297	5.387004934
298	5.384064428
299	5.370564709
300	5.358996311
301	5.3543941
302	5.348571522
303	5.344376471
304	5.335644264
305	5.333807886
306	5.324068522
307	5.320822294
308	5.314947325
309	5.310557724
310	5.303630881
311	5.300783282
312	5.296420689
313	5.289075084
314	5.277980251
315	5.273550464
316	5.27035725
317	5.265795827
318	5.262945589
319	5.258513936
320	5.250217885
321	5.248853951
322	5.24209456
323	5.238517068
324	5.235530994
325	5.227998108
326	5.220567663
327	5.213489243
328	5.206276184
329	5.201374125
330	5.190110417
331	5.188369708
332	5.184264216
333	5.175050774
334	5.170074054
335	5.163094462
336	5.155143461
337	5.151455269
338	5.148303473
339	5.142672043
340	5.139884563
341	5.134211299
342	5.128632297
343	5.127053369
344	5.124542681
345	5.119362426
346	5.11462722
347	5.109969973
348	5.102736245
349	5.098896021
350	5.094735471
351	5.092144717
352	5.090055885
353	5.083969483
354	5.07601659
355	5.072375421
356	5.067346057
357	5.059422224
358	5.057414035
359	5.052979543
360	5.04720888
361	5.041024401
362	5.035863393
363	5.029167781
364	5.02380662
365	5.014773222
366	5.009758295
367	5.002930409
368	4.997815892
369	4.99188117
370	4.989185175
371	4.985248542
372	4.982010357
373	4.978354482
374	4.974463225
375	4.966899569
376	4.962518332
377	4.958957864
378	4.955414362
379	4.951083083
380	4.947235199
381	4.944709702
382	4.940546625
383	4.934108513
384	4.93045418
385	4.928429077
386	4.925537331
387	4.923220277
388	4.914841572
389	4.905908838
390	4.902595481
391	4.900444963
392	4.893423116
393	4.891493605
394	4.881883869
395	4.875224086
396	4.870683882
397	4.862081942
398	4.856490735
399	4.85040663
400	4.844402169
401	4.841139964
402	4.830360493
403	4.823294341
404	4.818437615
405	4.81211129
406	4.806392713
407	4.803641579
408	4.798498851
409	4.792488339
410	4.785175247
411	4.776286393
412	4.774328574
413	4.771070817
414	4.768019439
415	4.763824688
416	4.754771648
417	4.749978265
418	4.745166681
419	4.73988551
420	4.737287142
421	4.731131643
422	4.729560238
423	4.726238064
424	4.723118565
425	4.718134279
426	4.715244243
427	4.711743874
428	4.706459273
429	4.703235161
430	4.698634974
431	4.693726894
432	4.690355921
433	4.684389322
434	4.677119387
435	4.670133562
436	4.664102011
437	4.660138521
438	4.65531788
439	4.650047769
440	4.643070394
441	4.641790179
442	4.638036512
443	4.636295139
444	4.634912538
445	4.630635721
446	4.629095954
447	4.623899719
448	4.620671221
449	4.614947642
450	4.610329423
451	4.604615873
452	4.602781071
453	4.600177258
454	4.595801176
455	4.594073291
456	4.590120831
457	4.586231
458	4.581322273
459	4.573643515
460	4.571937347
461	4.567688232
462	4.561327219
463	4.557138805
464	4.552006289
465	4.550213203
466	4.544624003
467	4.542009875
468	4.533807606
469	4.529316032
470	4.526718007
471	4.519575143
472	4.517316217
473	4.510393885
474	4.504831798
475	4.499104233
476	4.492604857
477	4.489927969
478	4.487176693
479	4.483494486
480	4.481937001
481	4.47954859
482	4.47682814
483	4.474835335
484	4.469665601
485	4.468229168
486	4.464046581
487	4.459325487
488	4.454336892
489	4.44904343
490	4.441353665
491	4.439426611
492	4.430774976
493	4.429446558
494	4.425844978
495	4.421637641
496	4.417876138
497	4.413257063
498	4.408387552
499	4.407174514
500	4.402257401
501	4.399524038
502	4.395686035
503	4.392313006
504	4.386349416
505	4.383942459
506	4.376162183
507	4.371498911
508	4.368481739
509	4.365590239
510	4.36099527
511	4.357411319
512	4.355142768
513	4.352353837
514	4.348552991
515	4.344931499
516	4.34259399
517	4.339757549
518	4.338629493
519	4.332357518
520	4.33180195
521	4.327887312
522	4.326512147
523	4.320585748
524	4.318046876
525	4.316659412
526	4.314158985
527	4.309457693
528	4.30546067
529	4.295128162
530	4.291041023
531	4.288311742
532	4.283634754
533	4.281274119
534	4.277607296
535	4.272955318
536	4.269354643
537	4.265986057
538	4.264730248
539	4.253926648
540	4.250909684
541	4.244789894
542	4.241500264
543	4.237219589
544	4.232458927
545	4.230865575
546	4.227233364
547	4.225940775
548	4.22282186
549	4.21919021
550	4.217826091
551	4.213997038
552	4.212323327
553	4.208705476
554	4.20418291
555	4.197368972
556	4.192464107
557	4.18612198
558	4.182695884
559	4.177864567
560	4.174966245
561	4.172845346
562	4.171536973
563	4.168582408
564	4.165939044
565	4.163004116
566	4.156904545
567	4.154631572
568	4.150853969
569	4.148338569
570	4.144408268
571	4.143241531
572	4.139226492
573	4.136537631
574	4.132332062
575	4.128950167
576	4.125443132
577	4.11917185
578	4.116541157
579	4.115145296
580	4.112751136
581	4.109763727
582	4.104635604
583	4.099655432
584	4.098971817
585	4.092098202
586	4.089402899
587	4.086153861
588	4.080172582
589	4.077345375
590	4.075082973
591	4.074419344
592	4.069736547
593	4.065378814
594	4.063922654
595	4.058894137
596	4.057567043
597	4.051050597
598	4.048739464
599	4.044965424
600	4.04260935
601	4.037646188
602	4.032710773
603	4.030465018
604	4.026177425
605	4.024112411
606	4.0220358
607	4.02082126
608	4.017715355
609	4.015735699
610	4.01089174
611	4.00968846
612	4.006550055
613	4.0053953
614	4.001492069
615	3.998925154
616	3.995447137
617	3.991390066
618	3.989227559
619	3.986326833
620	3.984115112
621	3.982184608
622	3.97917549
623	3.974600907
624	3.973193001
625	3.970258716
626	3.969778595
627	3.967662341
628	3.963712223
629	3.961563371
630	3.959600018
631	3.950317181
632	3.94698014
633	3.944672427
634	3.940749782
635	3.938964737
636	3.936557728
637	3.935172171
638	3.931008676
639	3.92886568
640	3.925260326
641	3.922122731
642	3.920331065
643	3.919208601
644	3.918696372
645	3.914604307
646	3.912282109
647	3.908615682
648	3.904047487
649	3.902110601
650	3.901714961
651	3.900442415
652	3.89508285
653	3.889966038
654	3.887064818
655	3.885286597
656	3.883097986
657	3.879571287
658	3.878430804
659	3.875063516
660	3.871221387
661	3.865563615
662	3.863894795
663	3.862728088
664	3.860112218
665	3.856264762
666	3.853723937
667	3.850121044
668	3.845127013
669	3.844214698
670	3.842508382
671	3.837634371
672	3.833430445
673	3.831280459
674	3.83012741
675	3.826452261
676	3.824509279
677	3.821924106
678	3.819883577
679	3.817396508
680	3.812640474
681	3.809896671
682	3.806915886
683	3.804953435
684	3.802092553
685	3.800354232
686	3.797851476
687	3.797489185
688	3.795810893
689	3.793597814
690	3.79155131
691	3.789668438
692	3.788836429
693	3.787813431
694	3.785800856
695	3.783832117
696	3.781863752
697	3.778346146
698	3.775404211
699	3.77291219
700	3.768098126
701	3.766354952
702	3.764662119
703	3.761274592
704	3.757878354
705	3.755694482
706	3.753789125
707	3.752095518
708	3.747861473
709	3.746175736
710	3.743058715
711	3.739542038
712	3.738489774
713	3.736748853
714	3.734983681
715	3.733643532
716	3.729219304
717	3.725985654
718	3.72210098
719	3.718969506
720	3.716131649
721	3.715111817
722	3.71328351
723	3.709495334
724	3.706302011
725	3.704251737
726	3.70273883
727	3.701810909
728	3.698550878
729	3.698126001
730	3.695125515
731	3.692661447
732	3.690299169
733	3.688547677
734	3.684309497
735	3.681816603
736	3.678047651
737	3.676186029
738	3.673656505
739	3.672196306
740	3.670347859
741	3.668716556
742	3.666020469
743	3.664393257
744	3.660008571
745	3.658015801
746	3.657118842
747	3.655652516
748	3.653917643
749	3.652587176
750	3.649834906
751	3.648477741
752	3.648141681
753	3.644771051
754	3.64116678
755	3.637772943
756	3.635220549
757	3.633030089
758	3.629883332
759	3.628949821
760	3.62556888
761	3.624615974
762	3.623043717
763	3.621618608
764	3.619500351
765	3.617012165
766	3.615681305
767	3.611824734
768	3.610297802
769	3.608882928
770	3.607505875
771	3.605981641
772	3.604702865
773	3.601800434
774	3.599283971
775	3.596767453
776	3.596011451
777	3.593264761
778	3.590182379
779	3.588304796
780	3.586623509
781	3.584951029
782	3.581017323
783	3.579217659
784	3.576514116
785	3.574267496
786	3.570574118
787	3.568695384
788	3.567483162
789	3.566117857
790	3.564343991
791	3.562160192
792	3.560606314
793	3.558519123
794	3.556553389
795	3.554977941
796	3.552327048
797	3.55030952
798	3.548807275
799	3.546385365
800	3.544693335
801	3.542549284
802	3.541171688
803	3.539703928
804	3.537214352
805	3.533774279
806	3.533073249
807	3.531141126
808	3.529099134
809	3.525910855
810	3.524446413
811	3.522438793
812	3.520700328
813	3.518266917
814	3.516617767
815	3.51421684
816	3.512214574
817	3.509915859
818	3.507698345
819	3.506945496
820	3.505329192
821	3.502350391
822	3.501098567
823	3.498535891
824	3.49717214
825	3.495829701
826	3.493449804
827	3.491970135
828	3.488049173
829	3.487427238
830	3.484515782
831	3.482484415
832	3.480089537
833	3.478927256
834	3.477530309
835	3.475790378
836	3.472366882
837	3.469271213
838	3.46556704
839	3.464304656
840	3.462682105
841	3.461955389
842	3.460608313
843	3.458428572
844	3.45666941
845	3.455229566
846	3.453212223
847	3.451243076
848	3.450198696
849	3.448449783
850	3.4476198
851	3.445140221
852	3.442182781
853	3.441457277
854	3.43946394
855	3.438520901
856	3.436532676
857	3.43496234
858	3.433291489
859	3.431296554
860	3.429172715
861	3.427433991
862	3.425501206
863	3.424386163
864	3.423330995
865	3.421805754
866	3.420763296
867	3.41888331
868	3.417362229
869	3.414246707
870	3.412945068
871	3.409560798
872	3.407498689
873	3.404540416
874	3.403229702
875	3.401161328
876	3.400289818
877	3.398959196
878	3.397282657
879	3.39499829
880	3.393487976
881	3.392892688
882	3.391723354
883	3.389789095
884	3.388373654
885	3.386317426
886	3.385115987
887	3.383690352
888	3.382437976
889	3.381812971
890	3.378926171
891	3.377197434
892	3.374893972
893	3.373193375
894	3.372629484
895	3.371753456
896	3.370998887
897	3.369829918
898	3.368377648
899	3.364973215
900	3.36351588
901	3.36103024
902	3.357880646
903	3.355286304
904	3.353599579
905	3.353100953
906	3.351434692
907	3.349825204
908	3.347998221
909	3.345815682
910	3.344797969
911	3.342242191
912	3.341057138
913	3.339426257
914	3.338768354
915	3.337632307
916	3.336206976
917	3.333151878
918	3.33074256
919	3.328918555
920	3.328271226
921	3.326754422
922	3.325585903
923	3.324017422
924	3.323331559
925	3.318458875
926	3.316417309
927	3.315147477
928	3.313880194
929	3.31279854
930	3.311799904
931	3.308945741
932	3.308147147
933	3.306419307
934	3.304654082
935	3.303279674
936	3.302169142
937	3.299906622
938	3.296843257
939	3.295669796
940	3.295346482
941	3.293951798
942	3.292675814
943	3.292431168
944	3.291199376
945	3.290135533
946	3.289334358
947	3.287415908
948	3.284511546
949	3.283617309
950	3.28163159
951	3.279893244
952	3.278583986
953	3.27750347
954	3.27638061
955	3.274047254
956	3.272065029
957	3.270440643
958	3.268989974
959	3.266786935
960	3.264667271
961	3.263162349
962	3.261570353
963	3.260116242
964	3.259151667
965	3.257513492
966	3.255614748
967	3.253452136
968	3.251329078
969	3.24969882
970	3.248146414
971	3.246967969
972	3.244676517
973	3.242940579
974	3.241072074
975	3.240234374
976	3.238802954
977	3.238301247
978	3.237636495
979	3.236115816
980	3.235422495
981	3.234071711
982	3.233525122
983	3.232909405
984	3.232055419
985	3.231583113
986	3.229548025
987	3.2281771
988	3.225319415
989	3.22458794
990	3.223476959
991	3.223136213
992	3.222134083
993	3.220623537
994	3.219401021
995	3.218055853
996	3.216993649
997	3.215715857
998	3.213825808
999	3.212237773
